t,f_x,f_y,c_d,c_l
3.450119999999999720e+01,3.257533103812997766e+00,-1.576106196645998825e-04,2.606026483050398213e+01,-1.260884957316799060e-03
3.475059999999999860e+01,3.277925775526711050e+00,-1.276493068993536650e-04,2.622340620421368840e+01,-1.021194455194829320e-03
3.500000000000000000e+01,3.298318329545954608e+00,1.112151801892710679e-04,2.638654663636763686e+01,8.897214415141685429e-04
3.525659999999999883e+01,3.319293467561342137e+00,2.985551974062153335e-04,2.655434774049073710e+01,2.388441579249722668e-03
3.550600000000000023e+01,3.339686026620940051e+00,1.115205662326410052e-04,2.671748821296752041e+01,8.921645298611280417e-04
3.575540000000000163e+01,3.360078289410560970e+00,-3.366921322409399675e-04,2.688062631528448776e+01,-2.693537057927519740e-03
3.600480000000000302e+01,3.380470638840314734e+00,-4.917849679410835062e-04,2.704376511072251787e+01,-3.934279743528668050e-03
3.625419999999999732e+01,3.400863103042107038e+00,2.560201668122541463e-05,2.720690482433685631e+01,2.048161334498033170e-04
3.650359999999999872e+01,3.421254722482692134e+00,7.570732264313081994e-04,2.737003777986153708e+01,6.056585811450465595e-03
3.675300000000000011e+01,3.441647194678867372e+00,6.943451050290608273e-04,2.753317755743093898e+01,5.554760840232486618e-03
3.700240000000000151e+01,3.462039149535782290e+00,-4.555561074603836635e-04,2.769631319628625832e+01,-3.644448859683069308e-03
3.725180000000000291e+01,3.482429219647212637e+00,-1.474687011465719566e-03,2.785943375717770110e+01,-1.179749609172575653e-02
3.750119999999999720e+01,3.502822808200622084e+00,-7.486165330170546639e-04,2.802258246560497668e+01,-5.988932264136437311e-03
3.775050000000000239e+01,3.523211590772172386e+00,1.471420314901897286e-03,2.818569272617737909e+01,1.177136251921517829e-02
3.800699999999999790e+01,3.544182148668760579e+00,2.523027090431700925e-03,2.835345718935008463e+01,2.018421672345360740e-02
3.825639999999999930e+01,3.564578511371632619e+00,1.586447133177168456e-04,2.851662809097306095e+01,1.269157706541734765e-03
3.850569999999999737e+01,3.584953628399442316e+00,-3.602701790706423768e-03,2.867962902719553853e+01,-2.882161432565139014e-02
3.875500000000000256e+01,3.605345549115540393e+00,-3.724127188380901843e-03,2.884276439292432315e+01,-2.979301750704721474e-02
3.900430000000000064e+01,3.625738968822552977e+00,1.756848637927591050e-03,2.900591175058042381e+01,1.405478910342072840e-02
3.925350000000000250e+01,3.646074953575595412e+00,7.243758056049529048e-03,2.916859962860476330e+01,5.795006444839623239e-02
3.950260000000000105e+01,3.666498813074134056e+00,4.403806438534295375e-03,2.933199050459307244e+01,3.523045150827436300e-02
3.975180000000000291e+01,3.686834094282999796e+00,-6.506007732288397738e-03,2.949467275426399837e+01,-5.204806185830718190e-02
